Date,Open,High,Low,Close,Volume,Adj Close
1997-02-06,31.80,32.17,31.80,31.93,896800,7.41
1997-02-05,32.42,32.42,31.44,31.56,1875200,7.33
1997-02-04,31.56,31.56,30.45,30.95,804800,7.19
1997-02-03,30.95,31.44,30.70,31.31,927600,7.27
1997-01-31,30.76,31.62,30.76,31.01,798400,7.19
1997-01-30,29.91,30.76,29.91,30.64,437600,7.10
1997-01-29,29.78,29.91,29.54,29.78,367200,6.90
1997-01-28,30.40,30.89,29.78,29.78,460000,6.90
1997-01-27,31.01,31.01,30.15,30.27,570000,7.02
1997-01-24,31.38,31.62,30.27,30.89,672400,7.16
1997-01-23,31.25,32.11,31.25,31.38,1249600,7.27
1997-01-22,31.38,31.50,30.89,31.01,528000,7.19
1997-01-21,31.25,31.74,31.01,31.25,850000,7.24
1997-01-20,31.87,31.99,31.38,31.38,684000,7.27
1997-01-17,31.38,32.23,31.38,32.11,608400,7.44
1997-01-16,30.52,31.50,30.40,31.38,875200,7.27
1997-01-15,31.01,31.01,30.03,30.64,938400,7.10
1997-01-14,30.76,31.25,30.64,31.01,792800,7.19
1997-01-13,30.52,30.76,30.27,30.76,674000,7.13
1997-01-10,30.03,30.52,29.91,30.40,968400,7.04
1997-01-09,29.54,30.40,29.29,30.27,1794400,7.02
1997-01-08,29.66,30.15,29.42,29.54,1294400,6.85
1997-01-07,30.03,30.40,29.05,29.42,1124000,6.82
1997-01-06,29.91,30.03,29.66,30.03,524400,6.96
1997-01-03,29.66,29.78,29.29,29.66,733600,6.87
1997-01-02,30.64,30.76,29.42,29.66,598400,6.87
